# 국세청 업종코드(6자리) → 우리 소비 중분류 대조표
#
# **KSIC 가 아니다.** 국세청 업종코드는 구 분류 세대를 쓴다(소매 52xxxx · 음식 55xxxx).
# KSIC-10(소매 47xx · 음식 56xx)과 번호가 겹치지 않으므로 섞어 쓰면 안 된다.
# 원천: reference/업종코드-국세청-2025.csv (국세청 2025년 귀속 업종코드, 1,542개)
#
# **여기 없는 코드는 전부 '카테고리없음'이다.** 1,542개 중 소비로 결제될 수 있는 것만 적는다 —
# 제조·도매·B2B 서비스는 개인 카드로 결제될 일이 사실상 없고, 억지로 연결하면 그 오분류를
# 아무도 눈치채지 못한다. 빠진 것은 가맹점명으로 LLM 이 받는다(§F).
#
# 왜 6자리인가: 4자리로는 화장품과 의약품이 한 코드(KSIC 4781)에 묶여 올리브영이 '의료'가 됐다.
# 국세청 6자리는 523131(화장품) / 523111(의약품) 으로 가른다.
#
# 주의 — 724000 은 OTT(넷플릭스)와 '데이터베이스 및 온라인 정보 제공업'(일부 PG 가 이 업종으로
# 등록)이 **한 코드에 섞여** 있다. 업종코드로는 못 가르므로 취미/여가로 두고, PG 는
# pg-사업자번호.tsv 로 따로 막는다.
#
# ── 4번째 칸: 카드혜택 축 (2026-08-10 신설) ──
#
# 우리 중분류(2번째 칸)는 **소비분석용**이라 카드 혜택이 걸리는 단위와 다르다 —
# 교통/자동차 하나에 주유(505001)·시내버스(602103)·택시(602201)가 함께 들어 있는데,
# 카드는 이 셋을 전부 다르게 취급한다(주유 리터당 할인 / 대중교통 10% / 택시 별도).
# 그래서 **한 파일에서 두 축이 나간다** — 소비분석은 중분류를, 카드추천은 이 칸을 읽는다.
#
# 축의 정본은 카드 검색 서비스가 실제로 쓰는 분류를 따랐다(뱅크샐러드 카드 혜택 필터).
# 우리가 새로 지으면 카드사 공시의 묶음과 어긋나서 매칭이 안 된다.
#
# **'혜택축없음'은 "소비가 아니다"가 아니다.** 그 업종에 걸리는 카드 혜택 축이 없다는 뜻이고,
# 카드로 결제됐으면 **전월 실적에는 그대로 들어간다.** 실적 제외는 카드사가 정하는 별개 목록이다
# (공과금·아파트관리비·상품권·대중교통 등 — 카드마다 다르다).
#
# 업종코드로 못 가르는 축이 둘 있다.
#   · 배달      배달의민족이 통신판매업으로 등록돼 '쇼핑'이 된다 → 브랜드로만 풀린다
#   · 간편결제   결제수단이라 업종이 아니다 → 표시만 하고 계산에서 뺀다
# 그래서 카드추천의 판정은 **브랜드가 1순위, 이 칸이 2순위**다.
#
# 업종코드	중분류	국세청 세세분류(사람이 읽는 근거)	카드혜택 축

# ── 정보통신업 ──
523921	쇼핑	시계 및 귀금속 소매업	쇼핑
523922	쇼핑	시계 및 귀금속 소매업	쇼핑
523923	쇼핑	시계 및 귀금속 소매업	쇼핑
523931	취미/여가	운동 및 경기용품 소매업	스포츠/레저
523932	취미/여가	운동 및 경기용품 소매업	스포츠/레저
523935	쇼핑	기타 의복 소매업	쇼핑
523936	쇼핑	기타 의복 소매업	쇼핑
523940	취미/여가	게임용구, 인형 및 장난감 소매업	쇼핑
523951	취미/여가	예술품 및 골동품 소매업	쇼핑
523952	취미/여가	예술품 및 골동품 소매업	쇼핑
523954	쇼핑	그 외 기타 분류 안된 상품 전문 소매업	쇼핑
523961	취미/여가	기념품, 관광 민예품 및 장식용품 소매업	쇼핑
523970	취미/여가	자전거 및 기타 운송장비 소매업	스포츠/레저
523980	취미/여가	음반 및 비디오물 소매업	쇼핑
523981	생활	그 외 기타 분류 안된 가정용품 소매업	쇼핑
523982	생활	그 외 기타 분류 안된 가정용품 소매업	쇼핑
523983	취미/여가	문구용품 및 회화용품 소매업	쇼핑
523984	쇼핑	그 외 기타 분류 안된 상품 전문 소매업	쇼핑
523985	쇼핑	그 외 기타 분류 안된 상품 전문 소매업	쇼핑
523986	쇼핑	그 외 기타 분류 안된 상품 전문 소매업	쇼핑
523987	쇼핑	화초 및 식물 소매업	쇼핑
523988	쇼핑	화초 및 식물 소매업	쇼핑

# ── 사업시설 관리, 사업지원 및 임대 서비스업 ──
523990	여행/숙박	기타 여행 보조 및 예약 서비스업	여행/항공

# ── 도매 및 소매업 ──
523993	쇼핑	가방 및 기타 가죽제품 소매업	쇼핑
523994	쇼핑	그 외 기타 분류 안된 상품 전문 소매업	쇼핑
523995	쇼핑	그 외 기타 분류 안된 상품 전문 소매업	쇼핑
523996	쇼핑	반려용동물 및 관련용품 소매업	애완
523999	쇼핑	그 외 기타 분류 안된 상품 전문 소매업	쇼핑
524000	쇼핑	의복 액세서리 및 모조 장신구 소매업	쇼핑
524001	생활	공구 소매업	쇼핑
524010	쇼핑	중고 가구 소매업	쇼핑
524020	쇼핑	기타 중고 상품 소매업	쇼핑
524091	쇼핑	기타 중고 상품 소매업	쇼핑
524092	쇼핑	중고 가전제품 및 통신장비 소매업	쇼핑
524093	쇼핑	기타 중고 상품 소매업	쇼핑
525101	쇼핑	전자상거래 소매업	온라인쇼핑
525102	쇼핑	기타 통신 판매업	온라인쇼핑
525103	쇼핑	전자상거래 소매 중개업	온라인쇼핑
525104	쇼핑	SNS마켓	온라인쇼핑
525105	쇼핑	해외직구대행업	온라인쇼핑
525200	쇼핑	방문 판매업	혜택축없음
525300	쇼핑	계약배달 판매업	혜택축없음
525910	쇼핑	자동 판매기 운영업	혜택축없음
525911	편의점/잡화	노점 및 유사 이동 소매업	혜택축없음
525912	쇼핑	그 외 기타 무점포 소매업	혜택축없음

# ── 숙박 및 음식점업 ──
551001	여행/숙박	호텔업	여행/항공
551002	여행/숙박	여관업	여행/항공

# ── 교육서비스업 ──
551003	건강/피트니스	청소년 수련시설 운영업	스포츠/레저

# ── 숙박 및 음식점업 ──
551004	여행/숙박	휴양 콘도 운영업	여행/항공
551005	여행/숙박	민박업	여행/항공
551006	여행/숙박	기타 일반 및 생활 숙박시설 운영업	여행/항공
551007	여행/숙박	숙박공유업	여행/항공
551009	여행/숙박	여관업	여행/항공
551010	여행/숙박	휴양 콘도 운영업	여행/항공
551015	여행/숙박	야영장업	여행/항공
551016	여행/숙박	기숙사 및 고시원 운영업	여행/항공
551017	여행/숙박	그 외 기타 숙박업	여행/항공
552101	식비	한식 일반 음식점업	외식
552102	식비	중식 음식점업	외식
552103	식비	일식 음식점업	외식
552104	식비	서양식 음식점업	외식
552105	식비	출장 음식 서비스업	외식
552107	식비	치킨 전문점	외식
552108	식비	김밥 및 기타 간이 음식점업	외식
552109	식비	기관 구내식당업	외식
552114	식비	한식 면 요리 전문점	외식
552115	식비	한식 육류 요리 전문점	외식
552116	식비	한식 해산물 요리 전문점	외식
552117	식비	기타 외국식 음식점업	외식
552118	식비	피자, 햄버거, 샌드위치 및 유사 음식점업	외식
552119	식비	김밥 및 기타 간이 음식점업	외식
552123	식비	간이 음식 포장 판매 전문점	외식
552201	술/유흥	일반 유흥 주점업	외식
552202	술/유흥	일반 유흥 주점업	외식
552203	술/유흥	무도 유흥 주점업	외식
552204	술/유흥	일반 유흥 주점업	외식
552205	술/유흥	생맥주 전문점	외식
552206	술/유흥	일반 유흥 주점업	외식
552207	술/유흥	기타 주점업	외식
552208	술/유흥	기타 주점업	외식
552209	술/유흥	기타 주점업	외식
552210	술/유흥	기타 주점업	외식
552211	술/유흥	기타 주점업	외식
552301	카페/간식	제과점업	카페/디저트
552303	카페/간식	커피 전문점	카페/디저트
552305	식비	간이 음식 포장 판매 전문점	외식
552307	카페/간식	기타 비알코올 음료점업	카페/디저트
552308	식비	이동 음식점업	외식
552309	식비	피자, 햄버거, 샌드위치 및 유사 음식점업	외식
552310	카페/간식	동물카페	애완

# ── 운수 및 창고업 ──
601000	교통/자동차	도시철도 운송업	대중교통
601001	교통/자동차	철도 여객 운송업	대중교통
601002	교통/자동차	철도 화물 운송업	혜택축없음
602101	교통/자동차	시외버스 운송업	대중교통
602102	교통/자동차	시외버스 운송업	대중교통
602103	교통/자동차	시내버스 운송업	대중교통
602104	교통/자동차	기타 도시 정기 육상 여객 운송업	대중교통
602109	교통/자동차	기타 도시 정기 육상 여객 운송업	대중교통
602110	교통/자동차	기타 도시 정기 육상 여객 운송업	대중교통
